# Matter power spectrum P(k) at redshift z=0
# for k=9.56569e-06 to 0.575947 h/Mpc,
# number of wavenumbers equal to 563
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.909710806928e-02       3.491220983959e+04 
       1.921823453383e-02       3.483343643603e+04 
       1.933943232548e-02       3.475369295974e+04 
       1.946070280162e-02       3.467348404418e+04 
       1.958204735343e-02       3.459110223508e+04 
       1.970346740657e-02       3.450664554694e+04 
       1.982496442194e-02       3.442282208579e+04 
       1.994653989645e-02       3.433668356829e+04 
       2.006819536384e-02       3.424959566192e+04 
       2.018993239546e-02       3.416090898952e+04 
       2.031175260116e-02       3.407168752824e+04 
       2.043365763017e-02       3.397977906738e+04 
       2.055564917197e-02       3.388882720683e+04 
       2.067772895725e-02       3.379632822207e+04 
       2.079989875888e-02       3.370259027688e+04 
       2.092216039288e-02       3.360745985767e+04 
       2.104451571947e-02       3.351170736094e+04 
       2.116696664413e-02       3.341502668677e+04 
       2.128951511864e-02       3.331672633495e+04 
       2.141216314230e-02       3.321880730485e+04 
       2.153491276300e-02       3.311966117230e+04 
       2.165776607848e-02       3.301846821737e+04 
       2.178072523754e-02       3.291770395940e+04 
       2.190379244133e-02       3.281568387107e+04 
       2.202696994465e-02       3.271300803279e+04 
       2.215026005733e-02       3.260909958728e+04 
       2.227366514563e-02       3.250479644197e+04 
       2.239718763369e-02       3.239980609629e+04 
       2.252083000503e-02       3.229395344143e+04 
       2.264459480406e-02       3.218763674202e+04 
       2.276848463774e-02       3.208053197316e+04 
       2.289250217717e-02       3.197277348934e+04 
       2.301665015935e-02       3.186438803685e+04 
       2.314093138888e-02       3.175532089492e+04 
       2.326534873981e-02       3.164573006302e+04 
       2.338990515754e-02       3.153550833961e+04 
       2.351460366070e-02       3.142476708908e+04 
       2.363944734322e-02       3.131341152581e+04 
       2.376443937640e-02       3.120166890605e+04 
       2.388958301100e-02       3.108941042902e+04 
       2.401488157955e-02       3.097673049663e+04 
       2.414033849856e-02       3.086336567437e+04 
       2.426595727096e-02       3.074967361623e+04 
       2.439174148855e-02       3.063548170584e+04 
       2.451769483452e-02       3.052097173241e+04 
       2.464382108613e-02       3.040663781326e+04 
       2.477012411742e-02       3.029124073811e+04 
       2.489660790204e-02       3.017563279706e+04 
       2.502327651619e-02       3.005958054351e+04 
       2.515013414165e-02       2.994318614372e+04 
       2.527718506897e-02       2.982661909949e+04 
       2.540443370070e-02       2.970902060709e+04 
       2.553188455477e-02       2.959233737465e+04 
       2.565954226806e-02       2.947471476837e+04 
       2.578741160000e-02       2.935697411566e+04 
       2.591549743639e-02       2.923837412193e+04 
       2.604380479333e-02       2.912061543412e+04 
       2.617233882126e-02       2.900164100972e+04 
       2.630110480928e-02       2.888326888723e+04 
       2.643010818950e-02       2.876437898483e+04 
       2.655935454166e-02       2.864552358129e+04 
       2.668884959786e-02       2.852634031088e+04 
       2.681859924756e-02       2.840707179875e+04 
       2.694860954270e-02       2.828742739586e+04 
       2.707888670310e-02       2.816795865549e+04 
       2.720943712201e-02       2.804830560569e+04 
       2.734026737198e-02       2.792848766778e+04 
       2.747138421085e-02       2.780843457326e+04 
       2.760279458815e-02       2.768864380687e+04 
       2.773450565162e-02       2.756862304404e+04 
       2.786652475410e-02       2.744822750488e+04 
       2.799885946070e-02       2.732831193089e+04 
       2.813151755626e-02       2.720800087701e+04 
       2.826450705315e-02       2.708813218545e+04 
       2.839783619945e-02       2.696776664458e+04 
       2.853151348741e-02       2.684746298253e+04 
       2.866554766240e-02       2.672738624516e+04 
       2.879994773218e-02       2.660731675978e+04 
       2.893472297661e-02       2.648709193517e+04 
       2.906988295788e-02       2.636701161527e+04 
       2.920543753112e-02       2.624696572364e+04 
       2.934139685559e-02       2.612736429653e+04 
       2.947777140632e-02       2.600748407677e+04 
       2.961457198644e-02       2.588736272820e+04 
       2.975180973995e-02       2.576775278126e+04 
       2.988949616523e-02       2.564781732016e+04 
       3.002764312920e-02       2.552848239419e+04 
       3.016626288215e-02       2.540896605560e+04 
       3.030536807334e-02       2.528942033329e+04 
       3.044497176742e-02       2.517015164871e+04 
       3.058508746165e-02       2.505098203919e+04 
       3.072572910407e-02       2.493219297088e+04 
       3.086691111258e-02       2.481329270013e+04 
       3.100864839505e-02       2.469461070912e+04 
       3.115095637053e-02       2.457570934372e+04 
       3.129385099159e-02       2.445743855726e+04 
       3.143734876790e-02       2.433892711767e+04 
       3.158146679108e-02       2.422113552430e+04 
       3.172622276104e-02       2.410283917910e+04 
       3.187163501369e-02       2.398492823348e+04 
       3.201772255034e-02       2.386750530708e+04 
       3.216450506874e-02       2.374974833676e+04 
       3.231200299601e-02       2.363271380130e+04 
       3.246023752347e-02       2.351533488865e+04 
       3.260923064355e-02       2.339830883003e+04 
       3.275900518902e-02       2.328189426727e+04 
       3.290958487457e-02       2.316502825596e+04 
       3.306099434100e-02       2.304848683750e+04 
       3.321325920217e-02       2.293233753338e+04 
       3.336640609501e-02       2.281630144815e+04 
       3.352046273270e-02       2.270053232413e+04 
       3.367545796135e-02       2.258488205876e+04 
       3.383142182046e-02       2.246949734767e+04 
       3.398838560737e-02       2.235431255684e+04 
       3.414638194622e-02       2.223917458334e+04 
       3.430544486150e-02       2.212435843382e+04 
       3.446560985688e-02       2.200966607160e+04 
       3.462691399957e-02       2.189526011175e+04 
       3.478939601068e-02       2.178097290276e+04 
       3.495309636227e-02       2.166698960483e+04 
       3.511805738146e-02       2.155334797553e+04 
       3.528432336239e-02       2.143948832184e+04 
       3.545194068670e-02       2.132597991804e+04 
       3.562095795323e-02       2.121266732547e+04 
       3.579142611794e-02       2.109954296378e+04 
       3.596339864489e-02       2.098663491245e+04 
       3.613693166946e-02       2.087389046157e+04 
       3.631208417480e-02       2.076134057505e+04 
       3.648891818318e-02       2.064895508480e+04 
       3.666749896327e-02       2.053670021406e+04 
       3.684789525540e-02       2.042488501399e+04 
       3.703017951642e-02       2.031269115078e+04 
       3.721442818627e-02       2.020098324178e+04 
       3.740072197870e-02       2.008926588122e+04 
       3.758914619859e-02       1.997783862278e+04 
       3.777979108899e-02       1.986648598836e+04 
       3.797275221117e-02       1.975551540954e+04 
       3.816813086141e-02       1.964408951746e+04 
       3.836603452897e-02       1.953302852283e+04 
       3.856657740005e-02       1.942214254782e+04 
       3.876988091325e-02       1.931126823552e+04 
       3.897607437315e-02       1.920053653373e+04 
       3.918529562909e-02       1.908976420942e+04 
       3.939769182756e-02       1.897916085215e+04 
       3.961342024809e-02       1.886855016536e+04 
       3.983264923343e-02       1.875795525394e+04 
       4.005555922725e-02       1.864731978837e+04 
