# Matter power spectrum P(k) at redshift z=0
# for k=9.57145e-06 to 0.577206 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.559320142947e-02       2.852946700286e+04 
       2.572186825812e-02       2.841157045176e+04 
       2.585074125101e-02       2.829324243737e+04 
       2.597982514326e-02       2.817527118162e+04 
       2.610912479535e-02       2.805751613944e+04 
       2.623864519701e-02       2.793862913114e+04 
       2.636839147125e-02       2.782046853083e+04 
       2.649836887856e-02       2.770158261567e+04 
       2.662858282127e-02       2.758286829496e+04 
       2.675903884803e-02       2.746376911084e+04 
       2.688974265860e-02       2.734491315453e+04 
       2.702070010864e-02       2.722581819079e+04 
       2.715191721489e-02       2.710656189494e+04 
       2.728340016042e-02       2.698733590648e+04 
       2.741515530014e-02       2.686785101901e+04 
       2.754718916656e-02       2.674846254187e+04 
       2.767950847574e-02       2.662874561315e+04 
       2.781212013354e-02       2.650963512371e+04 
       2.794503124211e-02       2.639025578358e+04 
       2.807824910663e-02       2.627055298366e+04 
       2.821178124241e-02       2.615102289188e+04 
       2.834563538219e-02       2.603197874713e+04 
       2.847981948389e-02       2.591223685905e+04 
       2.861434173858e-02       2.579283472871e+04 
       2.874921057891e-02       2.567354843647e+04 
       2.888443468781e-02       2.555439744617e+04 
       2.902002300766e-02       2.543502653468e+04 
       2.915598474988e-02       2.531635481540e+04 
       2.929232940493e-02       2.519693426426e+04 
       2.942906675276e-02       2.507809035419e+04 
       2.956620687379e-02       2.495928907628e+04 
       2.970376016042e-02       2.484053465773e+04 
       2.984173732904e-02       2.472200294996e+04 
       2.998014943265e-02       2.460348433969e+04 
       3.011900787409e-02       2.448536448557e+04 
       3.025832441994e-02       2.436720568170e+04 
       3.039811121509e-02       2.424881551195e+04 
       3.053838079802e-02       2.413101308284e+04 
       3.067914611693e-02       2.401370987260e+04 
       3.082042054660e-02       2.389581507494e+04 
       3.096221790620e-02       2.377856779627e+04 
       3.110455247799e-02       2.366133572104e+04 
       3.124743902706e-02       2.354395672668e+04 
       3.139089282201e-02       2.342737151400e+04 
       3.153492965690e-02       2.331039911699e+04 
       3.167956587426e-02       2.319421959879e+04 
       3.182481838948e-02       2.307760075298e+04 
       3.197070471645e-02       2.296148144344e+04 
       3.211724299478e-02       2.284556882727e+04 
       3.226445201841e-02       2.272989609102e+04 
       3.241235126604e-02       2.261446895793e+04 
       3.256096093318e-02       2.249952280181e+04 
       3.271030196620e-02       2.238425641934e+04 
       3.286039609836e-02       2.226972761831e+04 
       3.301126588802e-02       2.215487587417e+04 
       3.316293475922e-02       2.204069101450e+04 
       3.331542704469e-02       2.192636264154e+04 
       3.346876803166e-02       2.181245404991e+04 
       3.362298401046e-02       2.169879388771e+04 
       3.377810232634e-02       2.158541088272e+04 
       3.393415143458e-02       2.147218896890e+04 
       3.409116095925e-02       2.135929703860e+04 
       3.424916175589e-02       2.124658762444e+04 
       3.440818597842e-02       2.113410354786e+04 
       3.456826715065e-02       2.102185698632e+04 
       3.472944024266e-02       2.090988344127e+04 
