# Matter power spectrum P(k) at redshift z=0
# for k=9.68264e-06 to 0.582155 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.025853616087e-02       3.290059699610e+04 
       2.038232542043e-02       3.281592534809e+04 
       2.050619704273e-02       3.273077150318e+04 
       2.063015265555e-02       3.264476707537e+04 
       2.075419392642e-02       3.255611763939e+04 
       2.087832256350e-02       3.246804541508e+04 
       2.100254031651e-02       3.237810127035e+04 
       2.112684897777e-02       3.228812542987e+04 
       2.125125038309e-02       3.219683460350e+04 
       2.137574641293e-02       3.210415677399e+04 
       2.150033899337e-02       3.201088676539e+04 
       2.162503009726e-02       3.191623909101e+04 
       2.174982174536e-02       3.182173757675e+04 
       2.187471600748e-02       3.172589502682e+04 
       2.199971500371e-02       3.162878477358e+04 
       2.212482090567e-02       3.153175808945e+04 
       2.225003593780e-02       3.143358285957e+04 
       2.237536237867e-02       3.133541493221e+04 
       2.250080256237e-02       3.123498435369e+04 
       2.262635887991e-02       3.113449460442e+04 
       2.275203378072e-02       3.103346317657e+04 
       2.287782977410e-02       3.093189231932e+04 
       2.300374943081e-02       3.082935153620e+04 
       2.312979538469e-02       3.072642255855e+04 
       2.325597033430e-02       3.062291083030e+04 
       2.338227704464e-02       3.051874686633e+04 
       2.350871834893e-02       3.041404761634e+04 
       2.363529715045e-02       3.030876676434e+04 
       2.376201642440e-02       3.020293366638e+04 
       2.388887921990e-02       3.009655277981e+04 
       2.401588866197e-02       2.998972721194e+04 
       2.414304795366e-02       2.988244835947e+04 
       2.427036037818e-02       2.977464737013e+04 
       2.439782930116e-02       2.966644485996e+04 
       2.452545817297e-02       2.955796353448e+04 
       2.465325053108e-02       2.944874131057e+04 
       2.478121000257e-02       2.933992110771e+04 
       2.490934030669e-02       2.922960127349e+04 
       2.503764525749e-02       2.911977671445e+04 
       2.516612876664e-02       2.900942506087e+04 
       2.529479484618e-02       2.889857827006e+04 
       2.542364761155e-02       2.878734456591e+04 
       2.555269128464e-02       2.867565208098e+04 
       2.568193019691e-02       2.856382848780e+04 
       2.581136879276e-02       2.845155133986e+04 
       2.594101163286e-02       2.833976954373e+04 
       2.607086339774e-02       2.822713559077e+04 
       2.620092889144e-02       2.811427725196e+04 
       2.633121304534e-02       2.800109880446e+04 
       2.646172092207e-02       2.788813857356e+04 
       2.659245771968e-02       2.777459817510e+04 
       2.672342877585e-02       2.766095601027e+04 
       2.685463957237e-02       2.754717952744e+04 
       2.698609573972e-02       2.743349820892e+04 
       2.711780306186e-02       2.731960405818e+04 
       2.724976748121e-02       2.720536850999e+04 
       2.738199510387e-02       2.709100463629e+04 
       2.751449220497e-02       2.697679592939e+04 
       2.764726523428e-02       2.686224068349e+04 
       2.778032082210e-02       2.674771669853e+04 
       2.791366578532e-02       2.663314436889e+04 
       2.804730713375e-02       2.651818125399e+04 
       2.818125207676e-02       2.640385408035e+04 
       2.831550803015e-02       2.628877695374e+04 
       2.845008262338e-02       2.617402369467e+04 
       2.858498370703e-02       2.605955337995e+04 
       2.872021936065e-02       2.594443413957e+04 
       2.885579790093e-02       2.582964483666e+04 
       2.899172789027e-02       2.571489725917e+04 
       2.912801814567e-02       2.560014905013e+04 
       2.926467774807e-02       2.548541056476e+04 
       2.940171605214e-02       2.537070593300e+04 
       2.953914269644e-02       2.525602653307e+04 
       2.967696761412e-02       2.514153961034e+04 
       2.981520104416e-02       2.502695152386e+04 
       2.995385354300e-02       2.491281264667e+04 
       3.009293599688e-02       2.479814354412e+04 
       3.023245963473e-02       2.468411161019e+04 
       3.037243604161e-02       2.456969820052e+04 
       3.051287717296e-02       2.445570525974e+04 
       3.065379536941e-02       2.434174141495e+04 
       3.079520337247e-02       2.422770121813e+04 
       3.093711434090e-02       2.411383928399e+04 
       3.107954186805e-02       2.400052759476e+04 
       3.122249999992e-02       2.388683133352e+04 
       3.136600325439e-02       2.377333150468e+04 
       3.151006664128e-02       2.366016405228e+04 
       3.165470568357e-02       2.354700402624e+04 
       3.179993643978e-02       2.343421502733e+04 
       3.194577552754e-02       2.332125567216e+04 
       3.209224014848e-02       2.320887830333e+04 
       3.223934811449e-02       2.309602775928e+04 
       3.238711787551e-02       2.298390126564e+04 
       3.253556854887e-02       2.287153490076e+04 
       3.268471995035e-02       2.275957145520e+04 
       3.283459262701e-02       2.264775319398e+04 
       3.298520789204e-02       2.253641556879e+04 
       3.313658786165e-02       2.242487846855e+04 
       3.328875549419e-02       2.231352500555e+04 
       3.344173463165e-02       2.220237387398e+04 
       3.359555004383e-02       2.209164353492e+04 
       3.375022747515e-02       2.198071297007e+04 
