# Matter power spectrum P(k) at redshift z=0
# for k=9.57145e-06 to 0.575881 h/Mpc,
# number of wavenumbers equal to 560
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.137021888730e-01       1.561637101600e+03 
       2.166953610917e-01       1.520143244643e+03 
       2.196885351111e-01       1.484637045414e+03 
       2.226817108579e-01       1.454085789170e+03 
       2.256748882629e-01       1.427348705254e+03 
       2.286680672607e-01       1.403039941815e+03 
       2.316612477892e-01       1.379807558669e+03 
       2.346544297892e-01       1.356553410903e+03 
       2.376476132050e-01       1.332392700964e+03 
       2.406407979834e-01       1.306620335283e+03 
       2.436339840737e-01       1.279074227794e+03 
       2.466271714281e-01       1.249652450131e+03 
       2.496203600006e-01       1.218610625581e+03 
       2.526135497479e-01       1.186345454630e+03 
       2.556067406283e-01       1.153593451215e+03 
       2.585999326023e-01       1.120888645447e+03 
       2.615931256321e-01       1.089079001144e+03 
       2.645863196818e-01       1.058735106556e+03 
       2.675795147168e-01       1.030358202543e+03 
       2.705727107044e-01       1.004185078098e+03 
       2.735659076130e-01       9.803527206560e+02 
       2.765591054126e-01       9.587451371608e+02 
       2.795523040745e-01       9.392294919925e+02 
       2.825455035711e-01       9.214214870237e+02 
       2.855387038760e-01       9.050408129226e+02 
       2.885319049639e-01       8.896820422366e+02 
       2.915251068105e-01       8.749810045915e+02 
       2.945183093927e-01       8.605416453028e+02 
       2.975115126881e-01       8.460642063548e+02 
       3.005047166753e-01       8.312979495525e+02 
       3.034979213338e-01       8.161348976278e+02 
       3.064911266437e-01       8.004859067818e+02 
       3.094843325860e-01       7.844234636966e+02 
       3.124775391426e-01       7.681416891383e+02 
       3.154707462959e-01       7.518080645362e+02 
       3.184639540289e-01       7.355502056555e+02 
       3.214571623253e-01       7.196450536965e+02 
       3.244503711696e-01       7.041549421328e+02 
       3.274435805466e-01       6.893133897255e+02 
       3.304367904417e-01       6.752102556561e+02 
       3.334300008411e-01       6.618853413916e+02 
       3.364232117310e-01       6.493944868374e+02 
       3.394164230986e-01       6.377011469799e+02 
       3.424096349312e-01       6.267158575773e+02 
       3.454028472167e-01       6.163130096270e+02 
       3.483960599433e-01       6.063678810679e+02 
       3.513892730998e-01       5.967465032617e+02 
       3.543824866752e-01       5.873333098099e+02 
       3.573757006589e-01       5.780488743736e+02 
       3.603689150407e-01       5.688111379111e+02 
       3.633621298108e-01       5.595976060200e+02 
       3.663553449596e-01       5.503794273075e+02 
       3.693485604778e-01       5.411209280064e+02 
       3.723417763565e-01       5.318740950088e+02 
       3.753349925870e-01       5.226548016036e+02 
       3.783282091610e-01       5.135089512271e+02 
       3.813214260703e-01       5.044985411845e+02 
       3.843146433071e-01       4.956983875491e+02 
       3.873078608637e-01       4.871480164967e+02 
       3.903010787328e-01       4.788579076372e+02 
       3.932942969072e-01       4.708436790227e+02 
       3.962875153799e-01       4.631332199651e+02 
       3.992807341442e-01       4.557044690568e+02 
       4.022739531937e-01       4.485588931851e+02 
       4.052671725219e-01       4.416978986691e+02 
       4.082603921226e-01       4.350624655627e+02 
       4.112536119900e-01       4.286272832119e+02 
       4.142468321182e-01       4.223738115396e+02 
       4.172400525016e-01       4.162705418954e+02 
       4.202332731347e-01       4.102529573515e+02 
       4.232264940122e-01       4.043122458219e+02 
       4.262197151290e-01       3.984120490291e+02 
       4.292129364799e-01       3.925747589503e+02 
       4.322061580602e-01       3.867992473058e+02 
       4.351993798650e-01       3.810591448908e+02 
       4.381926018898e-01       3.754004138098e+02 
       4.411858241301e-01       3.698032099929e+02 
       4.441790465814e-01       3.642910400186e+02 
