# Matter power spectrum P(k) at redshift z=0
# for k=9.57145e-06 to 0.577206 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.233946021949e-01       8.325944314823e+02 
       3.263806048851e-01       8.154519857713e+02 
       3.293666080961e-01       7.991584513843e+02 
       3.323526118137e-01       7.837204555019e+02 
       3.353386160244e-01       7.692130698763e+02 
       3.383246207150e-01       7.556305353292e+02 
       3.413106258729e-01       7.427722642374e+02 
       3.442966314859e-01       7.306180932608e+02 
       3.472826375422e-01       7.189580224258e+02 
       3.502686440304e-01       7.076479105586e+02 
       3.532546509395e-01       6.965730879087e+02 
       3.562406582588e-01       6.856254203734e+02 
       3.592266659782e-01       6.747660207982e+02 
       3.622126740876e-01       6.639327346099e+02 
       3.651986825776e-01       6.530790526491e+02 
       3.681846914386e-01       6.422161021720e+02 
       3.711707006619e-01       6.313848216479e+02 
       3.741567102386e-01       6.206013386823e+02 
       3.771427201604e-01       6.099476018454e+02 
       3.801287304190e-01       5.994334123684e+02 
       3.831147410067e-01       5.891780272973e+02 
       3.861007519156e-01       5.791826900772e+02 
       3.890867631384e-01       5.695283962174e+02 
       3.920727746679e-01       5.602017206509e+02 
       3.950587864971e-01       5.512058059016e+02 
       3.980447986193e-01       5.425505004308e+02 
       4.010308110278e-01       5.341827200207e+02 
       4.040168237163e-01       5.260875651240e+02 
       4.070028366786e-01       5.182970608333e+02 
       4.099888499087e-01       5.107305128666e+02 
       4.129748634008e-01       5.033402794912e+02 
       4.159608771492e-01       4.961334085423e+02 
       4.189468911484e-01       4.890451501737e+02 
       4.219329053931e-01       4.820153893758e+02 
       4.249189198781e-01       4.750875888269e+02 
       4.279049345983e-01       4.681937805121e+02 
       4.308909495488e-01       4.613793326777e+02 
       4.338769647248e-01       4.546392530188e+02 
       4.368629801218e-01       4.479874203578e+02 
       4.398489957352e-01       4.414194662858e+02 
       4.428350115606e-01       4.349601637377e+02 
       4.458210275937e-01       4.285997992443e+02 
       4.488070438303e-01       4.223806579307e+02 
       4.517930602665e-01       4.163134221649e+02 
       4.547790768983e-01       4.104192184086e+02 
       4.577650937218e-01       4.046751407453e+02 
       4.607511107333e-01       3.991078133598e+02 
       4.637371279291e-01       3.937038127119e+02 
       4.667231453058e-01       3.884163415620e+02 
       4.697091628598e-01       3.832563791768e+02 
       4.726951805878e-01       3.782033045179e+02 
       4.756811984864e-01       3.732483558545e+02 
       4.786672165526e-01       3.683829425730e+02 
       4.816532347831e-01       3.636049596070e+02 
       4.846392531749e-01       3.588809445950e+02 
       4.876252717250e-01       3.542334514694e+02 
       4.906112904306e-01       3.496358299790e+02 
       4.935973092888e-01       3.450925289351e+02 
       4.965833282969e-01       3.406083612131e+02 
       4.995693474521e-01       3.361988459945e+02 
       5.025553667518e-01       3.318530493159e+02 
       5.055413861935e-01       3.275934976978e+02 
       5.085274057746e-01       3.234158412980e+02 
       5.115134254927e-01       3.193173103840e+02 
       5.144994453454e-01       3.152956624801e+02 
       5.174854653304e-01       3.113503810156e+02 
       5.204714854454e-01       3.074822317805e+02 
       5.234575056881e-01       3.036928749837e+02 
       5.264435260564e-01       2.999829179957e+02 
       5.294295465482e-01       2.963492024441e+02 
       5.324155671613e-01       2.927859212769e+02 
       5.354015878937e-01       2.892859228844e+02 
       5.383876087435e-01       2.858422353770e+02 
       5.413736297086e-01       2.824509210392e+02 
       5.443596507873e-01       2.791105968323e+02 
       5.473456719775e-01       2.758218327241e+02 
       5.503316932776e-01       2.725848688945e+02 
       5.533177146856e-01       2.693983353021e+02 
       5.563037362000e-01       2.662594996070e+02 
       5.592897578189e-01       2.631650065025e+02 
       5.622757795407e-01       2.601123864609e+02 
       5.652618013637e-01       2.571028470942e+02 
       5.682478232864e-01       2.541382729041e+02 
       5.712338453072e-01       2.512224842368e+02 
       5.742198674246e-01       2.483579584216e+02 
       5.772058896370e-01       2.455448125573e+02 
